OrderID,CustomerID,RestaurantID,OrderTimestamp,OrderAmount,DiscountAmount,DeliveryFee,PaymentMode,OrderStatus,CustomerName,CustomerCity,SignupTime,AcquisitionChannel,RestaurantName,Cuisine,RestaurantCity,AvgRating,OrderYear,OrderMonth,DaysSinceSignup,IsDelivered,IsCancelled,IsRefunded,NetAmount
O000001,C03175,R0115,2025-09-28,1079.36,107.94,39.0,Cash,Refunded,Rohan Agarwal,Bengaluru,2024-06-26,Instagram Ads,Burger King,Biryani,Gurugram,4.9,2025,9,459,False,False,True,971.4199999999998
O000002,C02432,R0077,2024-02-13,1499.63,149.96,42.0,Card,Delivered,Rohan Agarwal,Delhi,2025-11-06,Instagram Ads,Biryani By Kilo,Pizza,Hyderabad,4.0,2024,2,-632,True,False,False,1349.67
O000003,C01133,R0131,2024-03-07,597.18,59.72,22.0,Cash,Delivered,Priya Verma,Chennai,2024-01-26,Referral,KFC,Fast Food,Delhi,3.8,2024,3,41,True,False,False,537.4599999999999
O000004,C04813,R0109,2025-01-27,1257.48,125.75,53.0,Wallet,Delivered,Amit Kumar,Pune,2024-08-22,Organic,Pizza Hut,Healthy,Chennai,3.9,2025,1,158,True,False,False,1131.73
O000005,C04948,R0001,2024-10-25,1010.57,0.0,28.0,Wallet,Delivered,Neha Singh,Hyderabad,2025-09-12,WhatsApp Campaign,Chaayos,Fast Food,Hyderabad,4.5,2024,10,-322,True,False,False,1010.57
O000006,C01825,R0110,2025-11-05,1211.84,121.18,27.0,UPI,Refunded,Amit Kumar,Bengaluru,2024-10-03,WhatsApp Campaign,Domino's Pizza,North Indian,Chennai,3.8,2025,11,398,False,False,True,1090.6599999999999
O000007,C03728,R0066,2024-05-22,697.48,69.75,56.0,UPI,Cancelled,Rahul Sharma,Mumbai,2025-07-28,Instagram Ads,Domino's Pizza,Healthy,Mumbai,4.8,2024,5,-432,False,True,False,627.73
O000008,C04022,R0070,2024-04-13,348.11,0.0,34.0,UPI,Cancelled,Sneha Patel,Mumbai,2024-08-18,Organic,Chaayos,Pizza,Noida,4.4,2024,4,-127,False,True,False,348.11
O000009,C01287,R0097,2026-02-15,671.58,0.0,59.0,UPI,Delivered,Amit Kumar,Hyderabad,2024-07-29,Referral,Haldiram's,Fast Food,Delhi,3.8,2026,2,566,True,False,False,671.58
O000010,C03543,R0033,2025-12-02,825.79,0.0,40.0,UPI,Delivered,Amit Kumar,Pune,2025-03-22,Organic,McDonald's,Cafe,Chennai,4.3,2025,12,255,True,False,False,825.79
